"Transaction Date","Recipient Name","Recipient Company","Recipient Address","Recipient Country","Class","Total Cost","Package Weight","Appearances"
"8/23/2024","Interlibrary Loan Dept","Bartholomew County Public Library","536 5th St Columbus IN 47201-6225","US","Library Mail","4.4","1 lbs ","12"
"4/17/2024","Interlibrary Loan Dept","Spartanburg County Public Library","151 S Church St Spartanburg SC 29306-3241","US","Library Mail","3.92","1 lbs ","12"
"4/19/2024","Interlibrary Loan","Oak Lawn Public Library","9427 Raymond Ave Oak Lawn IL 60453-2466","US","Library Mail","3.92","1 lbs ","12"
"2/23/2024","Library - Interlibrary Loan Dept","""California State University, Stanislaus""","1 University Cir Turlock CA 95382-0299","US","Library Mail","6.72","5 lbs ","12"
"4/9/2024","Interlibrary Loan","Barrington Area Library","505 N Northwest Hwy Barrington IL 60010-3399","US","Library Mail","6.02","3 lbs 3.60 oz","12"
"4/10/2024","John E Riley Library - ILL","Northwest Nazarene University","623 S University Blvd Nampa ID 83686-5800","US","Library Mail","4.62","2 lbs ","12"
"4/17/2024","Bonnie Stevens","Little Sandy Correctional Complex","505 Prison Connector Sandy Hook KY 41171-7010","US","Library Mail","3.92","1 lbs ","12"
"4/2/2024","Interlibrary Loan","Pierce College Library","9401 Farwest Dr SW Lakewood WA 98498-1999","US","Library Mail","3.92","1 lbs ","12"
"4/2/2024","Interlibrary Loan","Anacortes Public Library","1220 10th St Anacortes WA 98221-1988","US","Library Mail","4.62","2 lbs ","12"
"4/11/2024","Interlibrary Loan","Cochise County Library District","""1415 Melody Ln, Bldg C Bisbee AZ 85603-3039""","US","Library Mail","3.92","1 lbs ","12"
"4/30/2024","Fulton Library ILL - MS145","Utah Valley University","1545 W Bus Park Dr Orem UT 84058-2221","US","Library Mail","4.62","2 lbs ","12"
"4/16/2024","Interlibrary Loan","Butte Public Library","226 W Broadway St Butte MT 59701-9297","US","Library Mail","3.92","1 lbs ","12"
"4/29/2024","Howard-Tilton Memorial Library - ILL","Tulane University","7001 Freret St New Orleans LA 70118-4641","US","Library Mail","4.62","2 lbs ","12"
"4/4/2024","Interlibrary Loan","Weber County Library","2039 W 4000 S Roy UT 84067-3551","US","Library Mail","4.62","2 lbs ","12"
"4/15/2024","ILL Department","Columbia County Rural Library District","PO Box 74 Dayton WA 99328-0074","US","Library Mail","4.62","2 lbs ","12"
"4/4/2024","Interlibrary Loan","Hillsborough County Public Library Coop","3804 S Manhattan Ave Tampa FL 33611-1212","US","Library Mail","3.92","1 lbs ","12"
"4/3/2024","Library","Airway Heights Corrections Center","PO Box 1899 Airway Heights WA 99001-1899","US","Library Mail","4.62","2 lbs ","12"
"4/30/2024","Interlibrary Loan","Olathe Public Library","260 E Santa Fe St Olathe KS 66061-3566","US","Library Mail","3.92","1 lbs ","12"
"4/16/2024","Library - Interlibrary Loan Dept","Texas A&M University-Central Texas","1001 Leadership Pl Killeen TX 76549-5901","US","Library Mail","4.62","2 lbs ","12"
"8/15/2024","Interlibrary Loan","Mid Continent Public Library","15616 E US Highway 24 Independence MO 64050-2098","US","Library Mail","5.11","2 lbs ","12"
"4/3/2024","Interlibrary Services","University of Virginia Library","PO Box 400109 Charlottesville VA 22904-4109","US","Library Mail","3.92","1 lbs ","12"
"4/22/2024","ILL Department","Royal Danish Library - Aarhus","Victor Albecks Vej 1 Aarhus C DK DK 8000","DK","First-Class Int'l","16.54","15 oz","12"
"4/9/2024","Interlibrary Loan","Syracuse University Libraries","222 Waverly Ave Syracuse NY 13244-2412","US","Library Mail","3.92","1 lbs ","12"
"8/14/2024","Interlibrary Loan","Arlington Heights Memorial Library","500 N Dunton Ave Arlington Heights IL 60004-5966","US","Library Mail","4.40","1 lbs ","12"
